"filename", "language", "JSON", "TypeScript", "TypeScript React", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\Elimination\EliminationBracketCards.tsx", "TypeScript React", 0, 0, 54, 0, 0, 0, 2, 7, 63
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\Elimination\EliminationCard.tsx", "TypeScript React", 0, 0, 176, 0, 0, 0, 4, 21, 201
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\Elimination\EliminationCards.tsx", "TypeScript React", 0, 0, 83, 0, 0, 0, 14, 6, 103
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\Elimination\EliminationColumn.tsx", "TypeScript React", 0, 0, 56, 0, 0, 0, 0, 6, 62
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\Elimination\EliminationSidebar.tsx", "TypeScript React", 0, 0, 60, 0, 0, 0, 0, 11, 71
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\Elimination\EliminationSidebarItem.tsx", "TypeScript React", 0, 0, 54, 0, 0, 0, 0, 7, 61
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\Elimination\eliminationSidebarStyles.ts", "TypeScript", 0, 124, 0, 0, 0, 0, 0, 2, 126
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\Elimination\eliminationStyles.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 2, 101
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\EnterScore\EnterScoreContent.tsx", "TypeScript React", 0, 0, 229, 0, 0, 0, 2, 17, 248
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\EnterScore\EnterScoreDialog.tsx", "TypeScript React", 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\EnterScore\EnterScoreItem.tsx", "TypeScript React", 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\EnterScore\EnterScoreScoresConainer.tsx", "TypeScript React", 0, 0, 48, 0, 0, 0, 0, 7, 55
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\EnterScore\EnterScoreSelector.tsx", "TypeScript React", 0, 0, 205, 0, 0, 0, 1, 20, 226
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\EnterScore\enterScoresStyles.ts", "TypeScript", 0, 134, 0, 0, 0, 0, 0, 2, 136
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\GameListEnterScoreButton.tsx", "TypeScript React", 0, 0, 27, 0, 0, 0, 0, 5, 32
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\GameListRound.tsx", "TypeScript React", 0, 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\GameListRow.tsx", "TypeScript React", 0, 0, 106, 0, 0, 0, 1, 11, 118
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\ImportParticipantsDialog.tsx", "TypeScript React", 0, 0, 117, 0, 0, 0, 1, 16, 134
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\PlayerFormTextField.tsx", "TypeScript React", 0, 0, 118, 0, 0, 0, 0, 8, 126
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\TournamentStatsSettingsList.tsx", "TypeScript React", 0, 0, 58, 0, 0, 0, 1, 9, 68
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\TournamentStatsSettingsListItem.tsx", "TypeScript React", 0, 0, 78, 0, 0, 0, 0, 8, 86
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\TournamentStats\LastManStandingPlayerStatsList.tsx", "TypeScript React", 0, 0, 136, 0, 0, 0, 0, 16, 152
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\TournamentStats\LastManStandingPlayerStatsRow.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 5, 45
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\TournamentStats\lastManStandingStyles.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 20, 2, 120
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\createTournamentDialogStyles.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\gameListRowStyles.ts", "TypeScript", 0, 145, 0, 0, 0, 0, 3, 5, 153
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\importParticipantsDialogStyles.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 2, 43
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\playerFormTextFieldStyles.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 4, 67
"c:\Users\Avet\Sources\tourtool-client\src\components\Tournament\tournamentStatsSettingsListStyles.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 3, 52
"c:\Users\Avet\Sources\tourtool-client\src\config.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Avet\Sources\tourtool-client\src\index.css", "CSS", 0, 0, 0, 0, 112, 0, 0, 16, 128
"c:\Users\Avet\Sources\tourtool-client\src\index.tsx", "TypeScript React", 0, 0, 22, 0, 0, 0, 3, 4, 29
"c:\Users\Avet\Sources\tourtool-client\src\pages\DeleteAccount\DeleteAccountResult.tsx", "TypeScript React", 0, 0, 54, 0, 0, 0, 0, 6, 60
"c:\Users\Avet\Sources\tourtool-client\src\pages\DeleteAccount\deleteAccountStyles.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 1, 3, 46
"c:\Users\Avet\Sources\tourtool-client\src\pages\Home\homeStyles.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 1, 3, 57
"c:\Users\Avet\Sources\tourtool-client\src\pages\Home\index.tsx", "TypeScript React", 0, 0, 35, 0, 0, 0, 0, 6, 41
"c:\Users\Avet\Sources\tourtool-client\src\pages\Login\Login.tsx", "TypeScript React", 0, 0, 179, 0, 0, 0, 4, 13, 196
"c:\Users\Avet\Sources\tourtool-client\src\pages\Login\loginStyles.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 1, 3, 36
"c:\Users\Avet\Sources\tourtool-client\src\pages\PasswordReset\PasswordResetForm.tsx", "TypeScript React", 0, 0, 182, 0, 0, 0, 0, 10, 192
"c:\Users\Avet\Sources\tourtool-client\src\pages\PasswordReset\RequestPasswordReset.tsx", "TypeScript React", 0, 0, 107, 0, 0, 0, 3, 7, 117
"c:\Users\Avet\Sources\tourtool-client\src\pages\PasswordReset\RequestPasswordResetSuccess.tsx", "TypeScript React", 0, 0, 46, 0, 0, 0, 0, 5, 51
"c:\Users\Avet\Sources\tourtool-client\src\pages\PasswordReset\passwordResetStyles.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 4, 67
"c:\Users\Avet\Sources\tourtool-client\src\pages\Register\EmailVerificationResult.tsx", "TypeScript React", 0, 0, 111, 0, 0, 0, 0, 12, 123
"c:\Users\Avet\Sources\tourtool-client\src\pages\Register\NotVerified.tsx", "TypeScript React", 0, 0, 79, 0, 0, 0, 1, 9, 89
"c:\Users\Avet\Sources\tourtool-client\src\pages\Register\Register.tsx", "TypeScript React", 0, 0, 224, 0, 0, 0, 1, 10, 235
"c:\Users\Avet\Sources\tourtool-client\src\pages\Register\RegisterSuccess.tsx", "TypeScript React", 0, 0, 82, 0, 0, 0, 1, 10, 93
"c:\Users\Avet\Sources\tourtool-client\src\pages\Register\registerStyles.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 1, 3, 46
"c:\Users\Avet\Sources\tourtool-client\src\pages\Tournaments\Elimination.tsx", "TypeScript React", 0, 0, 47, 0, 0, 0, 0, 6, 53
"c:\Users\Avet\Sources\tourtool-client\src\pages\Tournaments\EliminationBracket.tsx", "TypeScript React", 0, 0, 191, 0, 0, 0, 8, 19, 218
"c:\Users\Avet\Sources\tourtool-client\src\pages\Tournaments\LastManStanding.tsx", "TypeScript React", 0, 0, 286, 0, 0, 0, 4, 40, 330
"c:\Users\Avet\Sources\tourtool-client\src\pages\Tournaments\PlayerForm.tsx", "TypeScript React", 0, 0, 305, 0, 0, 0, 20, 28, 353
"c:\Users\Avet\Sources\tourtool-client\src\pages\Tournaments\PlayerTypeSelect.tsx", "TypeScript React", 0, 0, 90, 0, 0, 0, 0, 8, 98
"c:\Users\Avet\Sources\tourtool-client\src\pages\Tournaments\TournamentForm.tsx", "TypeScript React", 0, 0, 246, 0, 0, 0, 2, 12, 260
"c:\Users\Avet\Sources\tourtool-client\src\pages\Tournaments\TournamentTypeSelect.tsx", "TypeScript React", 0, 0, 88, 0, 0, 0, 0, 9, 97
"c:\Users\Avet\Sources\tourtool-client\src\pages\Tournaments\lastManStandingStyles.ts", "TypeScript", 0, 158, 0, 0, 0, 0, 5, 2, 165
"c:\Users\Avet\Sources\tourtool-client\src\pages\Tournaments\tournamentStyles.ts", "TypeScript", 0, 227, 0, 0, 0, 0, 0, 2, 229
"c:\Users\Avet\Sources\tourtool-client\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Avet\Sources\tourtool-client\src\redux\auth\actions.ts", "TypeScript", 0, 158, 0, 0, 0, 0, 10, 26, 194
"c:\Users\Avet\Sources\tourtool-client\src\redux\auth\reducer.ts", "TypeScript", 0, 148, 0, 0, 0, 0, 2, 6, 156
"c:\Users\Avet\Sources\tourtool-client\src\redux\auth\types.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 7, 72
"c:\Users\Avet\Sources\tourtool-client\src\redux\helpers.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 9, 6, 40
